Id,Content
Main_LahaiRoi_3_1_10_14,"Lynae, cậu chạy đi đâu vậy? Tớ gọi cậu bao nhiêu lần rồi, để lại tin nhắn mà cậu không trả lời! Đừng bảo cậu quên hôm nay là ngày gì đấy!"
Main_LahaiRoi_3_1_10_13,"Ồ, ờ, xin lỗi, tôi phải nghe cuộc gọi này."
Main_LahaiRoi_3_1_10_15,"Hôm nay à? Để tớ xem lại ghi chú... Báo cáo dự án nhóm của Giáo sư Alesev! Ôi không, làm ơn nói cho tớ biết là không phải hôm nay chứ!"
Main_LahaiRoi_3_1_10_17,"Tôi rất, rất xin lỗi! Tôi sẽ đến ngay đây... À, nhưng Nexus Cộng hưởng, và tôi cần đưa bạn đến phòng y tế—"
Main_LahaiRoi_3_1_10_18,Không sao đâu. Cậu đi giải quyết việc của cậu trước đi.
Main_LahaiRoi_3_1_10_19,Tôi có thể tự lo liệu được.
Main_LahaiRoi_3_1_10_16,LYNAE—
Main_LahaiRoi_3_1_10_20,Mmm... được rồi! Tớ sẽ gặp cậu ở phòng y tế khi xong việc nhé!
Main_LahaiRoi_3_1_1002_1,"Ngửi ngửi. Hmm, tần số của cậu đã ổn định hơn nhiều rồi, nhưng những gì cậu đã mất vẫn chưa hồi phục."
Main_LahaiRoi_3_1_1001_1,Cuộc sống ở đây quả thật đầy màu sắc.
Main_LahaiRoi_3_1_10_21,"Ngay khi bạn bước vào Học viện, tần số của bạn bắt đầu ổn định. Lynae, vẫn còn lo lắng, nhắc rằng nơi bạn ngã xuống chính là trung tâm của một khu vực Voidworm hoạt động.
Khi bạn hỏi cô ấy tại sao lại ở khu vực như vậy, cô ấy cầu xin bạn giữ bí mật chuyện đã xảy ra, nói rằng cô ấy không thể chịu thêm một lần vắng mặt trong hồ sơ của mình. Ngay lúc đó, bạn cùng lớp nhắn tin cho cô ấy về một vấn đề học tập. Cô ấy hứa sẽ gặp bạn sau tại phòng y tế trước khi vội vã rời đi."
Main_LahaiRoi_3_1_1002_2,"Con Sâu Hư Không đó chắc hẳn đã vồ lấy nó rồi! Nó có mùi giống như một con Threnodian, y như cái nhãn cầu to kia!"
Main_LahaiRoi_3_1_1002_4,Và cô gái xuất hiện từ hư không đó... Giọng cô ấy giống như giọng tôi đã nghe qua radio ở Thành phố Honami. Có lẽ đó chính là cô ấy.
Main_LahaiRoi_3_1_1002_3,Học viện đã ở đây từ rất lâu rồi. Họ chắc hẳn có cách để đối phó với Threnodian. Chúng ta thậm chí có thể nhận được một số sự trợ giúp.
Main_LahaiRoi_3_1_1002_5,Thật sao? Có lẽ cô ấy đang ở Lahai-Roi bây giờ. Chúng ta có nên thử tìm cô ấy không?
Main_LahaiRoi_3_1_1002_6,"Hãy tập trung sửa tần số đang mờ dần của tôi trước đã. Trong lúc đó, chúng ta có thể để mắt tìm cô ấy."
Main_LahaiRoi_3_1_1002_8,"(Đầu tiên, tôi cần xác định phương hướng ở đây đã.)"
Main_LahaiRoi_3_1_1002_7,"(Còn về Lynae, cô ấy đang che giấu điều gì đó, nhưng hiện tại tôi có những ưu tiên lớn hơn.)"
Main_LahaiRoi_3_1_1002_11,"Hình như. Tôi đã bị theo dõi. Dự án nhóm suýt giết tôi, và giờ lại thêm chuyện này..."
Main_LahaiRoi_3_1_1002_10,"Vậy câu chuyện thực sự của cậu là gì, {PlayerName} đến từ Bờ Biển Đen...?"
Main_LahaiRoi_3_1_1002_12,"Từ giờ trở đi, mọi thứ sẽ bận rộn hơn."
Main_LahaiRoi_3_1_1002_13,"Trên đường đến phòng y tế, Abby nhận xét rằng mặc dù tần số của bạn đã ổn định, nhưng phần bị mất vẫn chưa xuất hiện. Nó nghi ngờ Voidworm đã hấp thụ phần đó, vì sinh vật này mang mùi Threnodian giống như ""quả cầu mắt"" mà bạn đã thấy trong miền không gian kỳ lạ khi đi qua để đến Lahai-Roi.
Bạn quyết định sửa tần số đang mờ dần của mình trước, sau đó tìm hiểu thêm về cô gái mà bạn đã thấy trong miền không gian. Không xa đó, Lynae lặng lẽ tắt một chiếc máy dường như đang theo dõi bạn. Rõ ràng cô ấy biết về bạn nhiều hơn những gì cô ấy tiết lộ."
Main_LahaiRoi_3_1_11_2,"...À, {PlayerName}! Cuối cùng cũng tới!"
Main_LahaiRoi_3_1_11_3,"Sau đường hầm không gian, tất cả những gì tôi có thể làm là chờ đợi! Và tôi thậm chí còn không thể liên lạc với Bờ Biển Đen. Đã mấy ngày rồi."
Main_LahaiRoi_3_1_11_4,Có lẽ tôi đã nghĩ...
Main_LahaiRoi_3_1_11_5,Đã có biến chứng. Mất một lúc để tôi đến đây.
Main_LahaiRoi_3_1_11_6,Ừm... Tớ chỉ mừng là cậu vẫn an toàn thôi.
Main_LahaiRoi_3_1_11_7,"Khi bạn đi qua, bạn có nhận thấy điều gì kỳ lạ không?"
Main_LahaiRoi_3_1_11_8,"Kỳ lạ à? Không hẳn. Tôi cảm thấy hơi chóng mặt, nhưng ngoài ra thì mọi thứ vẫn bình thường."
Main_LahaiRoi_3_1_11_9,(Vậy là chỉ có mình tôi bị kéo vào chiều không gian kỳ lạ đó thôi sao...?)
Main_LahaiRoi_3_1_11_10,{PlayerName}? Bạn ổn chứ?
Main_LahaiRoi_3_1_11_11,Tôi ổn. Còn bạn thì sao? Mấy ngày qua thế nào?
Main_LahaiRoi_3_1_11_12,Tôi đã gặp gia đình mình. Họ... vẫn còn sống.
Main_LahaiRoi_3_1_11_13,"Cậu biết không, khi cuối cùng tớ nhìn thấy họ, mọi thứ mới thực sự thấm thía. Với tớ, chỉ là vài tháng. Nhưng với họ, tớ đã rời đi hơn hai mươi năm rồi."
Main_LahaiRoi_3_1_11_14,Họ đã thay đổi quá nhiều. Tôi...
Main_LahaiRoi_3_1_11_16,Có gì tớ có thể giúp không?
Main_LahaiRoi_3_1_11_15,Điều quan trọng là các cậu đã đoàn tụ.
Main_LahaiRoi_3_1_11_17,"Đúng, bạn nói đúng!"
Main_LahaiRoi_3_1_11_20,Bạn đã làm được quá nhiều rồi. Và bạn mới vừa đến đây thôi. Bạn còn việc riêng của mình phải lo.
Main_LahaiRoi_3_1_11_21,Tôi sẽ thích nghi. Tái kết nối với gia đình. Bắt kịp chương trình học. Bù đắp những năm tháng đã mất...
Main_LahaiRoi_3_1_11_18,"Thành thật mà nói, đó còn hơn cả những gì tôi mong đợi. Nó giống như một phép màu vậy."
Main_LahaiRoi_3_1_11_19,"Cảm ơn bạn, nhưng tôi sẽ ổn thôi."
Main_LahaiRoi_3_1_11_22,"Có cảm giác như tôi chỉ là một cô gái sắp bắt đầu mọi thứ từ đầu. Sẽ có những lo lắng, hối tiếc... nhưng tôi sẽ tiếp tục tiến về phía trước."
Main_LahaiRoi_3_1_11_24,Hãy tận hưởng cuộc sống ở Học viện hết mức có thể.
Main_LahaiRoi_3_1_11_25,"Tôi sẽ làm vậy. Và nếu cậu cần bất cứ điều gì, tôi ở đây. Tôi không biết mình có thể giúp được bao nhiêu, nhưng dù có chuyện gì xảy ra, tôi vẫn sẽ luôn cầu chúc những điều tốt đẹp nhất cho cậu."
Main_LahaiRoi_3_1_1101_1,"Một học sinh xuất hiện từ hư không, giống cậu ấy à? Tóc đen và đôi mắt vàng... Không, tôi không nghĩ là mình từng thấy ai như vậy."
Main_LahaiRoi_3_1_11_23,Đó là tất cả những gì bạn có thể làm.
Main_LahaiRoi_3_1_1101_3,"Vâng, cảm ơn bạn rất nhiều vì đã giúp đỡ."
Main_LahaiRoi_3_1_1101_2,Nhưng tôi sẽ để mắt tới bạn!
Main_LahaiRoi_3_1_1102_1,Tôi tự hỏi {Male=anh ấy;Female=cô ấy} đang ở đâu... Hy vọng {Male=anh ấy;Female=cô ấy} vẫn an toàn.
Main_LahaiRoi_3_1_12_2,"Ừ, nhưng chúng ta có thể ghé thăm khuôn viên trường trên đường đến đó."
Main_LahaiRoi_3_1_12_3,"Abby, cậu cảm thấy thế nào?"
Main_LahaiRoi_3_1_12_1,Chúng ta sẽ đi thẳng đến phòng y tế chứ?
Main_LahaiRoi_3_1_14_1,Lời chào. Bạn có cảm thấy không khỏe không? Hay có lẽ bạn muốn nghe một trong những lời khuyên sức khỏe của N.A.N.A.?
Main_LahaiRoi_3_1_12_4,Tôi ổn. Chỉ hơi mệt một chút sau khi vật lộn với con ấu trùng to đùng kia thôi.
Main_LahaiRoi_3_1_14_3,Nhưng {Male=anh ấy;Female=cô ấy} thậm chí còn không hề nao núng khi đối mặt với Voidworm đó. {Male=Anh ấy;Female=Cô ấy} có lẽ thuộc tuýp người không dễ bị dọa sợ.
Main_LahaiRoi_3_1_14_2,"Y tá N.A.N.A., cậu sẽ làm học sinh mới quý giá của chúng ta sợ mất thôi."
Main_LahaiRoi_3_1_14_4,"Hmm, anh có thể thấy điều đó. Bình tĩnh, giống như Lynae nhỏ vậy."
Main_LahaiRoi_3_1_14_7,Bạn đến đây nhanh thật.
Main_LahaiRoi_3_1_14_5,"Vậy, Lynae nhỏ à, hôm nay lại cần giấy xin nghỉ bệnh à? Lần này lý do của cậu là gì? Đau bụng? Đau đầu? Mắt giật giật? Tim đập nhanh? Hay là..."
Main_LahaiRoi_3_1_14_6,Ờ hừm! Không phải tôi lần này... Mà là {PlayerName}. Cậu có thể kiểm tra giúp {Male=anh ấy;Female=cô ấy} được không?
Main_LahaiRoi_3_1_14_8,Ừ! Tớ đến thẳng đây ngay sau khi hoàn thành báo cáo dự án. Tớ cứ không thể thư giãn cho đến khi thấy kết quả kiểm tra sức khỏe đầy đủ của cậu.
Main_LahaiRoi_3_1_14_9,Bạn có bị thương ở đâu không? Có chuyện gì xảy ra à?
Main_LahaiRoi_3_1_14_10,Tôi trượt chân ngã.
Main_LahaiRoi_3_1_14_11,Tôi bị xe máy đâm.
Main_LahaiRoi_3_1_14_13,...Là lỗi của tôi. Tôi rất xin lỗi...
Main_LahaiRoi_3_1_14_14,"Ôi trời, không cần phải hoảng sợ đâu. Chúng ta hãy kiểm tra nhanh nhé, được không? Làm ơn đưa tôi Cassette của bạn. Tôi cần nó để phân tích các chỉ số sinh tồn của bạn."
Main_LahaiRoi_3_1_14_15,Tôi chưa có cái nào cả...
Main_LahaiRoi_3_1_14_12,"Ừm, đúng rồi! {Male=Anh ấy;Female=Cô ấy} bị vấp ngã, và tôi tình cờ đi xe đạp ngang qua, nên... tôi đã đưa {Male=anh ấy;Female=cô ấy} đến đây ngay lập tức!"
Main_LahaiRoi_3_1_14_16,"À, đúng rồi! {PlayerName} vẫn chưa đăng ký chính thức, nên băng Cassette của {Male=anh ấy;Female=cô ấy} vẫn chưa được phân công..."
Main_LahaiRoi_3_1_14_17,"Ôi trời... Lần đầu tiên tôi thấy một học sinh đến phòng y tế trước cả khi nhập học. Nhưng đừng lo, chúng ta sẽ bắt đầu kiểm tra ngay bây giờ."
Main_LahaiRoi_3_1_14_18,Quét dấu hiệu sống bắt đầu—nhiệt độ bình thường. Sóng Rabelle ổn định. Phát hiện vết xước nhỏ...
Main_LahaiRoi_3_1_14_19,Chỉ là vài vết xước nhỏ thôi à?
Main_LahaiRoi_3_1_14_21,"Tôi đã chạm vào một Beacon trước đó, nên giờ tôi đã hồi phục hoàn toàn."
Main_LahaiRoi_3_1_14_20,Xương của tôi không dễ gãy.
Main_LahaiRoi_3_1_14_24,Mất tần số nhẹ và dạng sóng Bão Hư Không dư thừa đã được phát hiện. Chính xác thì hai cậu đã ở đâu vậy?
Main_LahaiRoi_3_1_14_22,"Chà, nếu Y tá N.A.N.A. nói vậy thì..."
Main_LahaiRoi_3_1_14_23,...Hm? Đó là một câu đùa hay một phép ẩn dụ à?
Main_LahaiRoi_3_1_14_26,"Tôi hiểu rồi... {PlayerName}, xin hãy đi theo tôi lối này."
Main_LahaiRoi_3_1_14_27,"Lynae nhỏ, không phải cậu sắp quay lại lớp sao?"
Main_LahaiRoi_3_1_14_25,(Tóm tắt ngắn gọn về các triệu chứng của việc cạn kiệt tần số và cuộc chạm trán của bạn với Voidworm.)
Main_LahaiRoi_3_1_14_29,Đừng lo. Tôi đã thông báo cho Tiến sĩ Herssen rồi. Ông ấy vừa kết thúc buổi khám và sẽ quay lại ngay thôi.
Main_LahaiRoi_3_1_14_28,Ồ... Tôi muốn ở lại cho đến khi có kết quả.
Main_LahaiRoi_3_1_1401_2,"Đây, đây... Giờ thì cứ nghỉ ngơi đi.
May mắn là cậu đã trở về an toàn.
Đừng cố quá sức nhé."
Main_LahaiRoi_3_1_1401_1,...Ừm... Đầu mình hơi đau một chút... Cảm giác như mình quên mất điều gì đó...
Main_LahaiRoi_3_1_14_30,"Bạn đến phòng khám, và ngay sau đó Lynae vội vã bước vào. Một robot y tế tên là N.A.N.A. chào mừng bạn và tiến hành kiểm tra sức khỏe.
Ngoài một vài vết xước, cô ấy ngay lập tức nhận thấy sự mất tần số bất thường của bạn. Sau khi nghe tình hình của bạn, cô ấy nói rằng Tiến sĩ Herssen sẽ đưa ra chẩn đoán cuối cùng."
Main_LahaiRoi_3_1_1402_1,Nhưng... dữ liệu của tôi...
Main_LahaiRoi_3_1_1403_2,Nhưng luận án của tôi vẫn cần một vài điểm dữ liệu quan trọng...
Main_LahaiRoi_3_1_1403_3,"Điều gì quan trọng hơn, điểm số hay mạng sống của bạn?"
Main_LahaiRoi_3_1_1403_4,Ờ— Ý tôi là... cuộc sống...
Main_LahaiRoi_3_1_1403_1,"Bao nhiêu lần tao phải nói nữa?! Tuyệt đối không được thu thập dữ liệu thực địa trái phép! Dù gần đây chu kỳ Bão Hư Không có bất thường, cậu vẫn dám đến gần khu vực Giun Hư Không đang hoạt động?!"
Main_LahaiRoi_3_1_1403_5,Hừm... Vậy chính xác thì cậu thiếu cái gì? Để tôi xem liệu có thứ gì dùng được trong dữ liệu từ chuyến thám hiểm khảo sát lần trước không.
Main_LahaiRoi_3_1_1403_6,"Cảm ơn, Giáo sư! Ồ..."
Main_LahaiRoi_3_1_1404_1,Dr. Herssen không có ở đây à?
Main_LahaiRoi_3_1_1403_7,Giữ nguyên vị trí và nằm yên...
Main_LahaiRoi_3_1_1405_1,Mùa Bão Hư Không này thực sự kéo dài quá lâu rồi. Liệu Lễ Hội Mặt Trời Mới có thể diễn ra được không?
Main_LahaiRoi_3_1_1405_2,Chúng ta không cần phải lo lắng về điều đó. Hãy tin tưởng vào các tiền bối và tập trung vào nhiệm vụ của chính mình thôi.
Main_LahaiRoi_3_1_1405_3,Ừm... Tôi có linh cảm không lành về chuyện này...
Main_LahaiRoi_3_1_15_2,"...Tình hình thế nào rồi? Hm, kết quả đã có rồi à? Để tôi xem..."
Main_LahaiRoi_3_1_1404_2,Anh ấy đang thực hiện cuộc gọi. Tôi nghe nói một nhóm nghiên cứu đã vô tình gặp phải một cơn Bão Hư Không nhỏ. Hy vọng họ sẽ ổn...
Main_LahaiRoi_3_1_15_3,"...Một Bloom Bearer của Bờ Biển Đen, được giới thiệu đến sao? Một lối vào... khá thú vị."
Main_LahaiRoi_3_1_15_1,Hãy ngồi xuống đây và nhắm mắt lại.
Main_LahaiRoi_3_1_15_5,"Rất vui được gặp bạn, Dr. Herssen."
Main_LahaiRoi_3_1_15_6,"Hmm... À, theo báo cáo, tần số của cậu hơi không ổn định một chút, nhưng giờ đã ổn định lại rồi. Không có gì phải lo cả."
Main_LahaiRoi_3_1_15_4,"Tôi là Luuk Herssen, bác sĩ phụ trách tại phòng khám này. Hầu hết các sinh viên gọi tôi là Bác sĩ Herssen, nhưng... nếu bạn thích gọi là Bác sĩ Luuk, hay đơn giản chỉ là Luuk, cũng không sao cả."
Main_LahaiRoi_3_1_15_8,"Tôi phải nói rằng, lao vào Bão Hư Không mà không có sự bảo vệ thích hợp thì không được khuyến khích đâu. Những học viên tôi thấy trước đó... Hừ, họ đã liều mạng chỉ để lấy một ít dữ liệu nghiên cứu."
Main_LahaiRoi_3_1_15_7,"Về việc mất tần số thì... xin lỗi, tôi không thể xác định chính xác nguồn gốc. Viện Nghiên cứu có lẽ có bản quét chi tiết hơn về điều đó."
Main_LahaiRoi_3_1_15_9,"Chúng tôi luôn nhấn mạnh rằng tính mạng là trên hết, nhưng... có điều gì đó trong tinh thần của Học viện này khiến mọi người bất chấp tất cả... Học sinh, giáo viên, đôi khi thật khó để không lo lắng."
Main_LahaiRoi_3_1_15_11,Sinh viên năm nhất.
Main_LahaiRoi_3_1_15_10,"À, xin lỗi. Mình lạc đề rồi. Ý mình chỉ là, hãy cảnh giác cho đến khi cậu hiểu rõ mình đang đối phó với điều gì."
Main_LahaiRoi_3_1_15_14,Chăm sóc sức khỏe tinh thần của học sinh cũng là một phần công việc của tôi.
Main_LahaiRoi_3_1_15_13,"Và nếu cậu cảm thấy không khỏe hoặc gặp phải vấn đề gì, đừng ngần ngại đến tìm tớ nhé. Dù là chuyện học hành, cuộc sống hàng ngày, hay điều gì đó cậu không thể diễn tả thành lời... Tớ luôn ở đây."
Main_LahaiRoi_3_1_15_12,"Chà, hãy ghi Cassette đó đi, được chứ? Nó sẽ giúp việc di chuyển của cậu dễ dàng hơn nhiều."
Main_LahaiRoi_3_1_15_15,"...Cảm ơn, Bác sĩ."
Main_LahaiRoi_3_1_15_17,Hiểu rồi. Tôi đang trên đường.
Main_LahaiRoi_3_1_15_16,"Tiến sĩ Herssen, một nhà Đồng bộ học tại Đại học Rabelle đã bất tỉnh. Yêu cầu hỗ trợ y tế."
Main_LahaiRoi_3_1_15_18,"Vậy thì, hẹn gặp lại sau nhé."
Main_LahaiRoi_3_1_15_20,"Hừm, cậu nói đúng. Để tớ diễn đạt lại... Chúc mọi việc thuận lợi cho cậu."
Main_LahaiRoi_3_1_15_22,...
Main_LahaiRoi_3_1_15_21,Chào mừng trở lại.
Main_LahaiRoi_3_1_15_23,Việc diễn ra thế nào? Bạn ổn chứ? Có vấn đề gì với kết quả của bạn không?
Main_LahaiRoi_3_1_15_19,"Tiến sĩ Herssen, chẳng phải ""hẹn gặp lại"" nghe hơi kỳ lạ khi một bác sĩ nói thế sao?"
Main_LahaiRoi_3_1_15_24,Tôi ổn.
Main_LahaiRoi_3_1_15_26,"Ồ, Cassette! Mỗi học sinh mới đều được phát một cái đã ghi sẵn. Đó là một... thiết bị đặc biệt được sử dụng ở đây, tại Lahai-Roi. Giống như một loại thẻ căn cước và thiết bị an toàn gộp lại thành một."
Main_LahaiRoi_3_1_15_27,"Bạn sẽ cần quyền truy cập vào Viện Nghiên cứu để lấy một cái. Và, ừm, điều đó có nghĩa là bạn phải được đăng ký chính thức trước đã."
Main_LahaiRoi_3_1_15_25,"Nhân tiện, cái băng Cassette mà mọi người vẫn nhắc tới... Nó là gì vậy?"
Main_LahaiRoi_3_1_15_28,"Được rồi, hãy hoàn thành việc đó trước."
Main_LahaiRoi_3_1_15_29,Hiểu rồi! Việc đăng ký được xử lý tại văn phòng khoa. Tôi sẽ đưa cậu đến đó.
Main_LahaiRoi_3_1_16_1,Giữ nguyên đã. Hãy tạm dừng ở đây một chút.
Main_LahaiRoi_3_1_16_3,"Nó đã chịu thiệt hại nặng trong trận Bão Hư Không lớn gần đây. Bộ phận Kỹ thuật đang tăng cường nhân lực để sửa chữa thiết bị ""mồi""."
Main_LahaiRoi_3_1_16_2,Giun Hư không gần đây hoạt động bất thường. Chúng ta thực sự cần hoàn thiện biện pháp đối phó sớm. Hệ thống Phòng thủ đang hoạt động thế nào?
Main_LahaiRoi_3_1_16_5,"Trong trường hợp xấu nhất, chúng ta sẽ phải gửi một Resonator phù hợp để xử lý thủ công."
Main_LahaiRoi_3_1_16_4,"Chúng ta cần khôi phục điều khiển từ xa cho cả Mảng Phòng thủ và thiết bị mồi nhử, và phải nhanh. Nếu không, chúng ta sẽ gặp bất lợi nghiêm trọng."
Main_LahaiRoi_3_1_15_30,"Tiến sĩ Luuk Herssen xem xét báo cáo của bạn: tần số của bạn ổn định và bạn không gặp nguy hiểm ngay lập tức, nhưng phần đã mất không thể truy tìm được. Ông ấy nói rằng Viện Nghiên cứu có thiết bị quét kỹ lưỡng hơn so với phòng khám. Ông ấy đề nghị bạn hoàn tất việc đăng ký tại Học viện để nhận được ""Cassette"", một giấy phép và thẻ căn cước cần thiết để vào Viện.
Kỳ lạ thay, cậu ấy thì thầm ""Chào mừng trở lại"" khi bạn rời đi."
Main_LahaiRoi_3_1_16_7,Tôi biết. Đó chính xác là lý do chúng ta phải tìm hiểu nguyên nhân gây ra sự bất thường trong chu kỳ Bão Hư Không lần này. Tôi mới chỉ thấy những chỉ số như thế này trong các mô phỏng thôi.
Main_LahaiRoi_3_1_16_8,Tôi có một cuộc họp. Xin lỗi bạn nhé.
Main_LahaiRoi_3_1_16_6,"Nhưng khu vực đó quá gần lãnh thổ Voidworm. Quá nguy hiểm. Thưa Giáo sư, chúng ta không thể đánh cược với sự an toàn của giảng viên và sinh viên."
Main_LahaiRoi_3_1_16_9,"Giáo sư, trông có vẻ hơi mệt mỏi, vội vã rời đi với một đống tài liệu trên tay."
Main_LahaiRoi_3_1_16_10,Có vẻ như họ đã nói chuyện xong. Chúng ta hãy đến đó nào.
Main_LahaiRoi_3_1_16_11,"Hm? Cậu cần gì à? À! Lynae, hôm nay cậu lại bỏ tiết Nghiên cứu Văn hóa nữa rồi phải không?"
Main_LahaiRoi_3_1_16_12,"Ui trời, chết tiệt, suýt nữa thì quên mất... À, đó là vì..."
Main_LahaiRoi_3_1_16_14,Hiểu rồi. Còn ba đối tượng. Tôi sẽ cố hết sức.
Main_LahaiRoi_3_1_16_15,Đó không phải là vấn đề. Lynae... Thôi bỏ đi. Điều gì đưa cậu đến văn phòng vậy?
Main_LahaiRoi_3_1_16_16,"Cô Voss, tôi đến đây để giúp {Male=anh ấy;Female=cô ấy} đăng ký nhập học. {Male=Anh ấy;Female=Cô ấy} mới đến đây và vẫn đang làm quen với nơi này..."
Main_LahaiRoi_3_1_16_13,"Bạn luôn chỉ đáp ứng số lần điểm danh tối thiểu. Cứ tiếp tục như vậy, chỉ có điểm tuyệt đối ở mọi môn mới cứu được bạn."
Main_LahaiRoi_3_1_16_17,Đăng ký ư? Vào thời điểm này sao? Tôi có thể biết tên của bạn không?
Main_LahaiRoi_3_1_16_19,"Để tôi kiểm tra... Đúng vậy, bạn có trong danh sách những học viên mới chưa báo cáo, và bạn đã vượt qua bài kiểm tra <te href=700009>Synchronist</te>."
Main_LahaiRoi_3_1_16_20,"À, vậy là cậu được Black Shores giới thiệu à. Điều đó giải thích được làm sao cậu đến được đây vào mùa Void Storm."
Main_LahaiRoi_3_1_16_18,{PlayerName}.
Main_LahaiRoi_3_1_16_22,"Nếu bạn có bất kỳ câu hỏi nào, hãy thoải mái hỏi bất cứ lúc nào."
Main_LahaiRoi_3_1_16_21,"Được rồi, danh tính đã được xác nhận. Đầu tiên, bạn sẽ cần đăng ký thông tin cá nhân, sau đó chụp ảnh thẻ sinh viên."
Main_LahaiRoi_3_1_16_23,Còn về Lynae thì...
Main_LahaiRoi_3_1_16_26,"Giao cho tớ! Được rồi, tân binh. Hãy đăng ký cho cậu nào."
Main_LahaiRoi_3_1_16_24,"Ờm, bây giờ đang là giờ giải lao. Tôi sẽ hướng dẫn {Male=anh ấy;Female=cô ấy} làm thủ tục nhập học và đưa {Male=anh ấy;Female=cô ấy} đi tham quan nhanh khuôn viên trường luôn."
Main_LahaiRoi_3_1_16_25,"À, cậu... Được thôi, nếu cậu nhất quyết, tôi sẽ giao việc này cho cậu."
Main_LahaiRoi_3_1_17_1,Làm thế nào để chúng ta đến Viện Nghiên cứu?
Main_LahaiRoi_3_1_16_27,"Bên ngoài văn phòng khoa, bạn tình cờ nghe thấy các giáo viên thảo luận về hoạt động bất thường của Voidworm và các biện pháp đối phó của Học viện. Bên trong, một giáo viên tên Voss xác nhận danh tính của bạn và giao cho Lynae hướng dẫn bạn hoàn tất thủ tục nhập học: đăng ký thông tin cá nhân và chụp ảnh thẻ."
Main_LahaiRoi_3_1_17_2,Thường thì tôi sẽ đi tàu Startorch Express hoặc tự mình lái phương tiện...
Main_LahaiRoi_3_1_17_4,Cậu cá là đúng rồi.
Main_LahaiRoi_3_1_17_3,"Vì giờ bạn đã chính thức là học viên của Startorch, bạn sẽ nhận được một phương tiện do Học viện cấp. Cơ hội hiếm có, bạn muốn thử không?"
Main_LahaiRoi_3_1_17_5,"Được rồi, đi lấy phương tiện của cậu thôi nào!"
Main_LahaiRoi_3_1_1701_2,Không thể nhớ rõ.
Main_LahaiRoi_3_1_1701_4,Tôi thường là người dạy.
Main_LahaiRoi_3_1_1701_5,"À, một trong những loại ""nhồi nhét rồi vứt đi"" à. Hiểu rồi."
Main_LahaiRoi_3_1_1701_7,"Ồ, thật sao? Lỗi của tôi. Có lẽ tôi đã đánh giá thấp cậu."
Main_LahaiRoi_3_1_18_1,"Hãy xem nào… mọi thứ đã sẵn sàng. Đây, giữ cái này cẩn thận nhé. Đừng làm mất nó."
Main_LahaiRoi_3_1_18_2,Sẽ có vấn đề lớn nếu tôi làm vậy chứ?
Main_LahaiRoi_3_1_1701_1,"Nhân tiện, bạn đã từng đi học chưa?"
