Id,Content
Main_LahaiRoi_3_2_14_5,"Từ cấu trúc của nó, trông như một bình chứa có thể vừa lưu trữ vừa phát ra năng lượng."
Main_LahaiRoi_3_2_14_6,"Ôi, thối quá!"
Main_LahaiRoi_3_2_14_7,Nó có mùi y hệt con sâu khổng lồ mà cậu đã đánh! Chẳng phải tụi mình đã giải quyết nó rồi sao?!
Main_LahaiRoi_3_2_14_8,Giun khổng lồ... Cậu nói đến <te href=700004>Voidworm</te> à?
Main_LahaiRoi_3_2_14_9,"Tôi hiểu rồi. Nó đang thu thập tần số với độ chính xác cao, lưu trữ dữ liệu năng lượng."
Main_LahaiRoi_3_2_14_10,"Nó dựa trên các mô hình sinh thái, theo dõi hoạt động trong môi trường tự nhiên và tái tạo lại dữ liệu đó bằng toán học."
Main_LahaiRoi_3_2_14_11,"Một bộ điều biến trường, phép chiếu tham số..."
Main_LahaiRoi_3_2_14_14,"Ôi, xin lỗi."
Main_LahaiRoi_3_2_14_15,Bạn có thể thử một phiên bản mà tôi có thể hiểu được không?
Main_LahaiRoi_3_2_14_16,Giải thích cho Abby hiểu đi.
Main_LahaiRoi_3_2_14_19,Xìììì...
Main_LahaiRoi_3_2_14_17,"Được rồi. Nói đơn giản, thiết bị này đã chiết xuất Tần số của Voidworm và tự dùng chính nó làm tâm điểm để lan tỏa Voidmatter. Cơn bão vừa rồi là do con người tạo ra."
Main_LahaiRoi_3_2_14_20,Ơ? Các cậu vừa nghe thấy gì không?
Main_LahaiRoi_3_2_14_21,Xììì… Xììì…
Main_LahaiRoi_3_2_14_23,???
Main_LahaiRoi_3_2_14_22,Nó đến từ dưới đống vật liệu Exoswarm kia. Đi kiểm tra xem nào.
Main_LahaiRoi_3_2_1401_1,Xìììì...
Main_LahaiRoi_3_2_14_18,Cảm biến của Maja bị nhiễm bẩn vì có lẽ họ đã vô tình chạm vào nó.
Main_LahaiRoi_3_2_14_24,Bạn và Mornye xác định được nguyên nhân của Bão Hư Không: một thiết bị chứa tần số Voidworm bị phong ấn.
Main_LahaiRoi_3_2_15_1,Xìììì...
Main_LahaiRoi_3_2_15_4,Đó là một <te href=700026>Soliskin</te>.
Main_LahaiRoi_3_2_15_5,Vậy đây là hình dáng của chúng sao.
Main_LahaiRoi_3_2_15_6,Tôi đã từng thấy một cái như thế này rồi.
Main_LahaiRoi_3_2_15_7,"Có, những sinh vật đặc biệt này thường xuất hiện quanh bộ tộc Roya."
Main_LahaiRoi_3_2_15_8,Bạn đã thấy một con rồi à? Vậy là cậu cũng đã khám phá đôi chút rồi đấy.
Main_LahaiRoi_3_2_15_9,"Theo ghi chép của Royan, Soliskin lần đầu xuất hiện tại Lahai-Roi vào ngày Exostrider rơi từ bầu trời xuống."
Main_LahaiRoi_3_2_15_12,Xìììì...
Main_LahaiRoi_3_2_15_10,"Người ta tin rằng chúng là những mảnh vỡ của ý thức Exostrider. Các Shepard bảo vệ chúng, che chắn khỏi sự ô nhiễm của Bão Hư Không cho đến khi chúng trưởng thành và trở về với Cây Solistrees ở Khu Rừng Bjartr."
Main_LahaiRoi_3_2_15_11,Kẻ này chắc hẳn đã trốn dưới đống đổ nát của Exoswarm khi Bão Hư Không ập đến.
Main_LahaiRoi_3_2_15_13,(Cái này... giống như những gì đã xảy ra ở Học viện vậy.)
Main_LahaiRoi_3_2_15_14,Tôi vừa xem lại ký ức của Soliskin này.
Main_LahaiRoi_3_2_15_15,Người phụ nữ Royan đó đã đặt thiết bị ở đây và kích hoạt Bão Hư Không. Cô Soliskin này là người sống sót duy nhất.
Main_LahaiRoi_3_2_15_16,Vậy là những nghi ngờ của chúng ta về Astrid đã được xác nhận. Chúng ta có nên quay lại trại và nói chuyện với cô ấy không?
Main_LahaiRoi_3_2_15_17,Không cần đâu. Tôi nghe hết cả rồi.
Main_LahaiRoi_3_2_15_18,Tôi đã đặt thiết bị này ở đây.
Main_LahaiRoi_3_2_15_19,Hãy kể cho chúng tôi nghe chuyện gì đã xảy ra.
Main_LahaiRoi_3_2_15_22,Tôi thấy thiết bị rơi ra từ tay áo của cậu ấy.
Main_LahaiRoi_3_2_15_21,"Anh ấy trông có vẻ mệt mỏi, như vừa nói chuyện với ai đó xong. Khi thấy tôi, anh ấy có vẻ bất ngờ rồi nhanh chóng rời đi."
Main_LahaiRoi_3_2_15_23,Tại sao cậu lại lấy nó?
Main_LahaiRoi_3_2_15_24,Tôi không để tâm lắm. Tôi định trả lại cho cậu ấy vào lần gặp sau.
Main_LahaiRoi_3_2_15_20,"Vài ngày trước, tôi đang dẫn đàn Soliskin trưởng thành đến <te href=700021>Bjartr Woods</te> thì gặp Foreseer Yngvar."
Main_LahaiRoi_3_2_15_25,Nhưng... Soliskin không thích điều đó. Nó mang một nguồn năng lượng... bất thường.
Main_LahaiRoi_3_2_15_26,"Tôi không muốn giữ nó ở trại, nhưng cũng không muốn Yngvar biết tôi đã lấy nó."
Main_LahaiRoi_3_2_15_27,"Vậy nên tôi đã chôn nó ở đây. Phần còn lại, cậu đã biết rồi."
Main_LahaiRoi_3_2_19_1,Hai người kia. Dừng lại ngay.
Main_LahaiRoi_3_2_15_28,"Bạn và Mornye lần theo nguồn âm thanh và tìm thấy một Soliskin. Khi đọc ký ức của nó, bạn thấy Astrid chôn thiết bị đã kích hoạt Cơn Bão Hư Không. Khi bị chất vấn, Astrid giải thích rằng thiết bị đó đến từ Nhà Tiên Tri Yngvar."
Main_LahaiRoi_3_2_19_2,"Từ trang phục của cậu, ta thấy cậu không phải người của ta. Điều gì đưa cậu đến Haldarheim?"
Main_LahaiRoi_3_2_19_3,Xììì!
Main_LahaiRoi_3_2_19_4,Ồ? Một Soliskin...
Main_LahaiRoi_3_2_19_5,Chúng ta đang đưa nó về nhà.
Main_LahaiRoi_3_2_19_6,Xùy! Xùy!
Main_LahaiRoi_3_2_19_7,Hừm. Thật thú vị... Soliskin chỉ tin tưởng những ai khiến nó cảm thấy an toàn. Và ngươi đã giành được lòng tin đó. Ta cảm ơn vì đã đưa nó trở về.
Main_LahaiRoi_3_2_19_9,(Không biết ai ở đây có biết Yngvar đã làm gì không. Tốt nhất đừng nhắc đến tên hắn. Không muốn gây thêm rắc rối.)
Main_LahaiRoi_3_2_19_8,"Nhưng tôi phải hỏi, tôi cảm nhận được một trong hai người mang hơi hướng của Spacetrek Collective. Người còn lại đến từ thế giới rộng lớn bên ngoài vùng băng giá. Tại sao lại cải trang thành Shepherds?"
Main_LahaiRoi_3_2_19_10,Chúng tôi đã giải cứu con Soliskin này khỏi một cơn Bão Hư Không. Chúng tôi được bảo rằng nó cần trở về đây để thực hiện Nghi thức Trở Về.
Main_LahaiRoi_3_2_19_12,Rèèè—
Main_LahaiRoi_3_2_19_11,Bão Hư Không ấy à? Ý cậu là trận bão vừa rồi ấy hả?
Main_LahaiRoi_3_2_19_13,Haha! Vậy thì tôi phải cảm ơn cả hai cậu mới được!
Main_LahaiRoi_3_2_19_14,"Nhưng tôi buộc phải hỏi—Bão Hư Không, nó xảy ra gần trại Atuja phải không?"
Main_LahaiRoi_3_2_19_16,"(Tôi quên mất chuyện đó rồi. Không có lý do chính đáng, cậu ấy có thể sẽ nghi ngờ mất.)"
Main_LahaiRoi_3_2_19_17,Bởi vì... Astrid đã giấu cậu điều gì đó.
Main_LahaiRoi_3_2_19_18,Ý của cậu là gì?
Main_LahaiRoi_3_2_19_19,"Con gái của Astrid, Maja, là một học sinh tại Học viện Startorch. Cô ấy đã tiến hành các thí nghiệm vi phạm quy trình và gây thiệt hại cho tài sản của trường."
Main_LahaiRoi_3_2_19_15,"Một cô gái chăn cừu tên Astrid sống ở đó. Người đã cứu Soliskin đi lạc ấy, vậy mà lại không giao nó cho một người chăn cừu đích thực. Vậy thì đến đây làm gì?"
Main_LahaiRoi_3_2_19_20,Maja giờ đây đang phải đối mặt với hình phạt nghiêm khắc. Astrid bận xử lý hậu quả và không thể thực hiện nhiệm vụ của một Người Chăn Cừu.
Main_LahaiRoi_3_2_19_21,"Theo Bộ Quy tắc Giáo viên của Học viện Startorch, với tư cách là giáo viên của Maja, chúng tôi có trách nhiệm giải quyết hậu quả từ hành động của học sinh."
Main_LahaiRoi_3_2_19_24,Chính xác như những gì Giáo sư Mornye đã nói.
Main_LahaiRoi_3_2_19_22,"Vì Astrid không thể dẫn dắt Soliskin này, chúng ta phải tự mình đảm nhận vai trò đó."
Main_LahaiRoi_3_2_19_25,"Lẽ ra tôi nên biết con gái của Astrid sẽ gây ra rắc rối đến thế này! Lần này đúng là một mớ bòng bong, nhưng cô ấy sẽ làm mọi thứ vì con bé."
Main_LahaiRoi_3_2_19_26,"Sự sẵn lòng của Học viện đi xa đến thế này thật bất ngờ. Xin thứ lỗi cho những lời tôi nói trước đó. Bạn đã cứu Soliskin và giúp đỡ người dân chúng tôi. Danh hiệu ""Người Chăn Cừu"", bạn xứng đáng với nó."
Main_LahaiRoi_3_2_19_28,"Hãy đến đây. Từ ngày hôm nay, người Roya sẽ gọi các cậu là bạn."
Main_LahaiRoi_3_2_19_29,Hãy nghỉ ngơi tại trại nếu cậu muốn. Bữa tiệc sẽ bắt đầu vào giờ thứ tám của đêm.
Main_LahaiRoi_3_2_19_27,"Tối nay, chúng ta sẽ tổ chức một bữa tiệc để chuẩn bị cho <te href=700028>Nghi Lễ Trở Về</te> vào ngày mai. Hãy tham gia cùng chúng tôi, như một lời xin lỗi chân thành cho sự thô lỗ của tôi trước đó."
Main_LahaiRoi_3_2_19_30,"Trưởng làng Haldarheim, Aksel, ban đầu tỏ ra nghi ngờ bạn, nhưng Mornye lấy được lòng tin của ông bằng cách giới thiệu mình là thầy giáo của Maja. Bạn được mời tham dự bữa tiệc trước lễ nghi."
Main_LahaiRoi_3_2_2_1,Tíc-tắc! Sắp đến giờ gặp Mornye rồi!
Main_LahaiRoi_3_2_2_2,"Tôi không thể ngừng nghĩ về mấy món snack Spacetrek ấy. Chúng sẽ như thế nào nhỉ, hả?!"
Main_LahaiRoi_3_2_20_1,"Bạn đã mắc lỗi tính toán. Nếu làm theo cách của bạn, góc quay của Bộ truyền động Lò phản ứng sẽ là bốn phẩy không sáu phần nghìn vòng."
Main_LahaiRoi_3_2_20_2,"Không, không, không! Chính cậu mới nhầm đấy. Tớ đã tính lại tám lần rồi, kết quả là bốn phẩy không tám phần nghìn vòng cơ!"
Main_LahaiRoi_3_2_20_3,Xin lỗi. Cậu có thấy Foreseer Yngvar ở đâu không?
Main_LahaiRoi_3_2_20_4,Lão tiên tri Yngvar à? Ha! Chẳng đời nào chúng ta có cơ hội gặp mặt đâu.
Main_LahaiRoi_3_2_20_5,"Trong lịch sử của Lục Heliodic, những người như Yngvar hiếm khi xuất hiện giữa chúng ta. Nếu cậu tìm kiếm ông ấy, hy vọng lớn nhất của cậu nằm ở Nghi Lễ Trở Về vào ngày mai."
Main_LahaiRoi_3_2_20_7,"Nếu cô ấy ở đây lúc này, chắc chắn cô ấy sẽ đồng ý rằng..."
Main_LahaiRoi_3_2_20_6,"À, tôi vẫn nhớ lúc ""Con Mắt"" hiện tại tham gia vào những cuộc tranh luận sôi nổi về những con số trước khi ngồi vào vị trí của mình. Ừm, cô ấy đúng là thế mà."
Main_LahaiRoi_3_2_20_8,Cô ấy sẽ đồng ý rằng đó là bốn phẩy không sáu phần nghìn.
Main_LahaiRoi_3_2_2001_1,"Bạn đã mắc lỗi tính toán. Nếu làm theo cách của bạn, góc quay của Bộ truyền động Lò phản ứng sẽ là bốn phẩy không sáu phần nghìn vòng."
Main_LahaiRoi_3_2_2001_2,"Không, không, không! Chính cậu mới nhầm đấy. Tớ đã tính lại tám lần rồi, kết quả là bốn phẩy không tám phần nghìn vòng cơ!"
Main_LahaiRoi_3_2_21_2,Xìììì...
Main_LahaiRoi_3_2_21_3,Xin lỗi. Cậu có thấy Foreseer Yngvar ở đâu không?
Main_LahaiRoi_3_2_21_1,"Đã đến lúc phải chia tay rồi, Marigold..."
Main_LahaiRoi_3_2_21_4,"Nhà Tiên Tri Yngvar... Đúng vậy, với Nghi Lễ Trở Về vào ngày mai, có lẽ chúng ta sẽ gặp ông ấy."
Main_LahaiRoi_3_2_20_9,"Không, là bốn phẩy không tám phần nghìn!"
Main_LahaiRoi_3_2_21_5,"Nói thật lòng, tộc Soliskin không ưa anh ta cho lắm. Chúng ta, những Người Chăn Cừu, cũng ít khi tiếp xúc với hắn."
Main_LahaiRoi_3_2_21_6,Rầm... ầm...
Main_LahaiRoi_3_2_21_9,Xììì!
Main_LahaiRoi_3_2_21_7,"Dù là một trong những người kế vị Heliodor Six, địa vị của anh ta không phải là điều chúng ta nên bàn luận."
Main_LahaiRoi_3_2_2101_1,"Đã đến lúc phải chia tay rồi, Marigold..."
Main_LahaiRoi_3_2_21_8,"Dù sao, tôi vẫn mong rằng tương lai của Bộ Lục Nhật Quang sẽ là người được Soliskin ưu ái... có lẽ là một ai đó như Sigrika."
Main_LahaiRoi_3_2_2101_2,Xìììì...
Main_LahaiRoi_3_2_22_2,Xin lỗi. Cậu có thấy Foreseer Yngvar ở đâu không?
Main_LahaiRoi_3_2_22_3,Yngvar à? Thằng bé đó không còn lui tới đây nữa.
Main_LahaiRoi_3_2_22_1,Bữa tiệc tối nay có thêm những gương mặt mới. Có vẻ chúng ta sẽ phải chuẩn bị thêm cho hai người nữa...
Main_LahaiRoi_3_2_22_4,"Ta sẽ nói sự thật. Sau khi cha mẹ cậu bé bị cuốn vào Bão Hư Không khi cậu còn nhỏ, chính Aksel và ta đã nuôi nấng cậu."
Main_LahaiRoi_3_2_22_7,"À, thôi thì... Dù chỉ là một bữa ăn, nhưng khi cậu ấy trở về, lòng cũng thấy ấm áp."
Main_LahaiRoi_3_2_2201_1,Bữa tiệc tối nay có thêm những gương mặt mới. Có vẻ chúng ta sẽ phải chuẩn bị thêm cho hai người nữa...
Main_LahaiRoi_3_2_22_6,"Nhưng ở một nơi nào đó trên con đường ấy, cậu đã thay đổi. Không còn muốn gánh vác trách nhiệm của Lục Tộc nữa, cậu dần trở nên xa cách, thậm chí chẳng mấy khi về thăm nhà."
Main_LahaiRoi_3_2_22_5,"Một đứa trẻ trầm lặng như cậu. Ít bạn bè. Khi năng lực Cộng Hưởng được phát hiện và Lục Heliodic chọn cậu làm người kế vị, cậu đã vô cùng vui mừng. ""Từ nay, lũ trẻ khác sẽ không dám bắt nạt mình nữa,"" cậu nói."
Main_LahaiRoi_3_2_233_6,Bạn có cơ hội phân tích cái này từ khi nào vậy?
Main_LahaiRoi_3_2_23_1,Vẫn còn chút thời gian trước khi buổi tiệc bắt đầu. Có lẽ ai đó ở đây biết đôi điều về Nhà Tiên Tri Yngvar.
Main_LahaiRoi_3_2_233_5,Dạng sóng đặc trưng của Cơn Bão Hư Không này trùng khớp với dạng sóng mà thiết bị kia từng tạo ra trước đây. Đây không phải là hiện tượng tự nhiên.
Main_LahaiRoi_3_2_233_7,"Khi đôi chân giả của tôi đang sạc, tôi thích giữ cho đầu óc mình bận rộn."
Main_LahaiRoi_3_2_24_1,Bạn bè—đã đến lúc chúng ta mở tiệc thôi!
Main_LahaiRoi_3_2_24_2,"Ngày mai là Lễ Trở Về, nơi chúng ta đưa những Soliskin yêu dấu trở về với thân thể vĩ đại của Exostrider. Họ sẽ hóa thành ánh sáng rực rỡ để hòa nhập vào hình hài thiêng liêng của nó."
Main_LahaiRoi_3_2_24_3,"Tạm biệt thôi, nhưng cũng là một khởi đầu mới! Bởi khi Exostrider thức tỉnh, chúng ta sẽ hội ngộ trong thân thể của nó!"
Main_LahaiRoi_3_2_24_4,"Giờ đây, hãy gác lại nỗi buồn ly biệt và cùng đón chào niềm vui của sự sống mới bằng những món ăn ngon và ly rượu thắm!"
Main_LahaiRoi_3_2_24_6,Có chuyện gì thế? Cậu đang lo lắng à?
Main_LahaiRoi_3_2_24_7,"Ngày mai, chúng ta sẽ đối mặt với Nhà Tiên Tri Yngvar."
Main_LahaiRoi_3_2_24_8,"Tôi đã mô phỏng bảy mươi ba kết quả có thể xảy ra, nhưng dù vậy, vẫn không thể bao quát mọi tình huống."
Main_LahaiRoi_3_2_24_9,"Nếu tôi có thể xây dựng một mô hình bao quát mọi kết quả khả dĩ, xét đến hệ thống mục tiêu, những điều kiện hỗn loạn và những hiệu chỉnh cần thiết..."
Main_LahaiRoi_3_2_24_5,"Nhưng hãy nghe đây, các bạn của ta. Đừng uống quá chén đâu nhé. Nếu ngày mai trong Nghi Lễ mà các cậu làm trò cười, ta sẽ không ra tay giúp đâu."
Main_LahaiRoi_3_2_24_10,Cậu phản ứng nhanh đấy. Cậu làm được mà.
Main_LahaiRoi_3_2_24_11,Bởi vì tôi tin cách làm của cậu hiệu quả. Tôi đã cố làm theo.
Main_LahaiRoi_3_2_24_12,Tôi thực sự đã làm tốt sao?
Main_LahaiRoi_3_2_24_13,Tất nhiên rồi. Đừng đánh giá thấp bản thân như vậy.
Main_LahaiRoi_3_2_24_14,"Vâng. Cứ luyện tập tiếp đi, rồi mọi thứ sẽ dễ dàng hơn thôi."
Main_LahaiRoi_3_2_24_16,Hiểu rồi. Lần sau mình sẽ cố gắng hơn.
Main_LahaiRoi_3_2_24_18,Chít chít! Chít chít chít!
Main_LahaiRoi_3_2_24_15,Tốt rồi. Phù...
Main_LahaiRoi_3_2_24_19,Cậu bé dễ thương này đang muốn nói gì vậy?
Main_LahaiRoi_3_2_24_20,"Xùy xụt, xùy xụt!"
Main_LahaiRoi_3_2_24_23,Xììì!
Main_LahaiRoi_3_2_24_21,"À, tôi biết rồi! Nó muốn chúng ta đặt tên cho nó."
Main_LahaiRoi_3_2_24_25,Vậy là quyết định rồi.
Main_LahaiRoi_3_2_24_22,"Ừm, vì nó đang cố gắng thân thiết với chúng ta, hay là gọi nó là ""Buddy"" nhỉ?"
Main_LahaiRoi_3_2_24_24,Ồ? Có vẻ nó thích điều này.
Main_LahaiRoi_3_2_24_26,Ừm... thật là nhẹ nhõm.
Main_LahaiRoi_3_2_24_27,"Chào bạn, hãy cùng nhảy múa với chúng tôi và Soliskin nhé!"
Main_LahaiRoi_3_2_24_28,Ông Aksel bảo rằng tộc Soliskin vui nhất khi được nhảy múa cùng những Người Chăn Cừu!
Main_LahaiRoi_3_2_24_29,"Ồ, nhưng tôi không giỏi nhảy múa lắm."
Main_LahaiRoi_3_2_24_31,Ôi tuyệt!
Main_LahaiRoi_3_2_24_30,Tôi sẽ tham gia cùng cậu. Cùng nhảy với Buddy nhé. Cậu thấy sao?
Main_LahaiRoi_3_2_24_32,Trận chiến thực sự của chúng ta sẽ bắt đầu vào ngày mai.
Main_LahaiRoi_3_2_24_33,"Tối nay, chúng ta hãy thư giãn một chút nhé, Mornye."
Main_LahaiRoi_3_2_24_34,Đúng vậy. Người thầy của tôi cũng nên nghe theo lời khuyên của {Male=chính anh ấy;Female=chính cô ấy} chứ.
